transaction_id,account_id,OpeningDate_ID,Amount
4,4,1322,463.13
4,4,1322,463.13
334,4,1322,356.6
334,4,1322,356.6
813,4,1322,87.79
813,4,1322,87.79
8,8,310,256.62
200,8,310,176.63
277,8,310,392.1
390,8,310,460.77
485,8,310,186.9
612,8,310,81.21
703,8,310,149.9
9,9,895,272.21
829,9,895,406.52
11,11,1029,369.25
11,11,1029,369.25
11,11,1029,369.25
544,11,1029,257.96
544,11,1029,257.96
544,11,1029,257.96
629,11,1029,128.35
629,11,1029,128.35
629,11,1029,128.35
960,11,1029,40.51
960,11,1029,40.51
960,11,1029,40.51
12,12,982,295.89
237,12,982,266.18
814,12,982,211.13
956,12,982,464.51
13,13,1039,344.01
13,13,1039,344.01
13,13,1039,344.01
260,13,1039,365.0
260,13,1039,365.0
260,13,1039,365.0
569,13,1039,429.33
569,13,1039,429.33
569,13,1039,429.33
15,14,212,452.34
377,14,212,416.18
540,14,212,218.65
595,14,212,336.35
657,14,212,245.28
699,14,212,372.74
16,15,602,416.56
606,15,602,149.04
614,15,602,296.87
648,15,602,384.3
18,17,375,355.49
430,17,375,252.03
440,17,375,345.24
483,17,375,337.16
740,17,375,438.4
809,17,375,71.1
19,18,1195,56.89
183,18,1195,226.41
230,18,1195,352.55
383,18,1195,84.42
677,18,1195,160.37
20,19,512,40.97
173,19,512,259.35
294,19,512,155.91
376,19,512,326.82
426,19,512,294.51
515,19,512,447.2
874,19,512,343.63
22,21,978,68.11
181,21,978,410.85
367,21,978,263.58
536,21,978,350.94
971,21,978,50.48
985,21,978,488.42
23,22,1180,125.53
98,22,1180,296.84
710,22,1180,50.37
769,22,1180,175.05
819,22,1180,21.32
25,24,671,236.09
25,24,671,236.09
25,24,671,236.09
25,24,671,236.09
217,24,671,421.38
217,24,671,421.38
217,24,671,421.38
217,24,671,421.38
323,24,671,316.0
323,24,671,316.0
323,24,671,316.0
323,24,671,316.0
391,24,671,288.83
391,24,671,288.83
391,24,671,288.83
391,24,671,288.83
26,25,1484,297.99
26,25,1484,297.99
26,25,1484,297.99
48,25,1484,387.49
48,25,1484,387.49
48,25,1484,387.49
269,25,1484,151.28
269,25,1484,151.28
269,25,1484,151.28
683,25,1484,468.99
683,25,1484,468.99
683,25,1484,468.99
963,25,1484,137.05
963,25,1484,137.05
963,25,1484,137.05
27,26,887,147.5
27,26,887,147.5
324,26,887,397.33
324,26,887,397.33
558,26,887,109.41
558,26,887,109.41
716,26,887,375.37
716,26,887,375.37
822,26,887,48.55
822,26,887,48.55
915,26,887,480.59
915,26,887,480.59
29,28,1223,351.38
149,28,1223,125.33
636,28,1223,217.2
30,29,867,403.71
669,29,867,69.98
31,30,274,358.37
381,30,274,393.97
697,30,274,44.05
976,30,274,438.42
32,31,694,140.67
32,31,694,140.67
116,31,694,466.19
116,31,694,466.19
158,31,694,90.2
158,31,694,90.2
680,31,694,267.72
680,31,694,267.72
853,31,694,375.89
853,31,694,375.89
34,33,1356,93.16
34,33,1356,93.16
34,33,1356,93.16
213,33,1356,217.1
213,33,1356,217.1
213,33,1356,217.1
396,33,1356,251.96
396,33,1356,251.96
396,33,1356,251.96
473,33,1356,338.91
473,33,1356,338.91
473,33,1356,338.91
690,33,1356,214.98
690,33,1356,214.98
690,33,1356,214.98
691,33,1356,381.46
691,33,1356,381.46
691,33,1356,381.46
877,33,1356,461.68
877,33,1356,461.68
877,33,1356,461.68
941,33,1356,266.13
941,33,1356,266.13
941,33,1356,266.13
37,36,781,30.0
37,36,781,30.0
250,36,781,85.33
250,36,781,85.33
332,36,781,184.27
332,36,781,184.27
385,36,781,334.48
385,36,781,334.48
468,36,781,447.32
468,36,781,447.32
799,36,781,138.12
799,36,781,138.12
882,36,781,498.69
882,36,781,498.69
957,36,781,51.63
957,36,781,51.63
38,37,447,494.22
457,37,447,268.05
575,37,447,280.85
577,37,447,60.08
646,37,447,188.36
708,37,447,469.8
739,37,447,328.19
39,38,1221,465.1
469,38,1221,29.91
940,38,1221,62.5
41,39,679,105.12
41,39,679,105.12
70,39,679,136.12
70,39,679,136.12
77,39,679,287.91
77,39,679,287.91
129,39,679,112.77
129,39,679,112.77
905,39,679,133.29
905,39,679,133.29
942,39,679,428.93
942,39,679,428.93
43,41,151,328.65
43,41,151,328.65
43,41,151,328.65
194,41,151,181.16
194,41,151,181.16
194,41,151,181.16
262,41,151,411.8
262,41,151,411.8
262,41,151,411.8
458,41,151,56.55
458,41,151,56.55
458,41,151,56.55
463,41,151,271.95
463,41,151,271.95
463,41,151,271.95
812,41,151,378.28
812,41,151,378.28
812,41,151,378.28
44,42,818,448.75
146,42,818,105.76
331,42,818,396.48
462,42,818,134.8
721,42,818,405.08
964,42,818,291.47
47,45,676,167.84
47,45,676,167.84
47,45,676,167.84
84,45,676,418.3
84,45,676,418.3
84,45,676,418.3
279,45,676,346.83
279,45,676,346.83
279,45,676,346.83
414,45,676,213.23
414,45,676,213.23
414,45,676,213.23
931,45,676,195.41
931,45,676,195.41
931,45,676,195.41
50,46,1150,227.4
171,46,1150,287.92
902,46,1150,432.41
53,48,1370,50.99
166,48,1370,446.81
445,48,1370,305.06
565,48,1370,482.11
586,48,1370,397.94
54,49,960,426.91
124,49,960,403.69
165,49,960,343.52
247,49,960,174.73
428,49,960,359.38
441,49,960,96.95
926,49,960,499.21
55,50,334,86.29
120,50,334,486.72
164,50,334,456.83
337,50,334,320.2
57,52,226,271.18
412,52,226,149.3
617,52,226,417.49
650,52,226,285.47
987,52,226,58.06
58,53,160,337.93
130,53,160,67.73
275,53,160,25.71
510,53,160,111.06
746,53,160,164.82
972,53,160,287.54
60,55,1262,299.22
333,55,1262,109.91
399,55,1262,46.84
887,55,1262,413.38
62,57,1099,309.22
228,57,1099,78.04
263,57,1099,170.94
559,57,1099,178.26
820,57,1099,499.36
841,57,1099,152.3
916,57,1099,75.34
63,58,339,381.28
442,58,339,386.17
499,58,339,421.41
546,58,339,371.31
67,61,614,298.4
109,61,614,276.47
225,61,614,306.9
387,61,614,389.89
767,61,614,403.99
980,61,614,452.94
68,62,1200,132.43
251,62,1200,445.89
608,62,1200,163.08
759,62,1200,63.38
69,63,253,490.26
123,63,253,75.93
725,63,253,350.19
71,64,1215,67.63
224,64,1215,322.46
448,64,1215,256.19
634,64,1215,172.5
74,67,671,381.9
85,67,671,112.4
180,67,671,373.98
293,67,671,420.1
298,67,671,419.84
497,67,671,147.12
507,67,671,447.55
728,67,671,153.95
76,69,1283,364.14
706,69,1283,143.86
868,69,1283,54.28
78,70,798,57.33
308,70,798,436.38
665,70,798,301.47
82,74,83,61.79
82,74,83,61.79
368,74,83,23.07
368,74,83,23.07
406,74,83,259.24
406,74,83,259.24
86,56,614,259.17
317,56,614,146.72
982,56,614,268.3
87,76,392,188.5
274,76,392,241.7
466,76,392,409.38
491,76,392,100.25
770,76,392,420.79
951,76,392,137.52
1000,76,392,115.48
90,79,133,257.1
90,79,133,257.1
90,79,133,257.1
90,79,133,257.1
90,79,133,257.1
386,79,133,332.85
386,79,133,332.85
386,79,133,332.85
386,79,133,332.85
386,79,133,332.85
423,79,133,39.69
423,79,133,39.69
423,79,133,39.69
423,79,133,39.69
423,79,133,39.69
93,81,125,53.02
147,81,125,142.73
313,81,125,161.43
471,81,125,60.95
555,81,125,243.5
651,81,125,37.57
95,35,756,308.31
870,35,756,205.89
896,35,756,354.18
102,85,1359,468.81
150,85,1359,333.96
175,85,1359,286.83
449,85,1359,94.04
103,86,117,330.91
326,86,117,288.33
327,86,117,474.14
568,86,117,63.97
909,86,117,495.55
107,89,509,70.81
476,89,509,227.09
503,89,509,200.51
567,89,509,175.91
108,90,366,157.92
108,90,366,157.92
839,90,366,347.3
839,90,366,347.3
953,90,366,112.51
953,90,366,112.51
110,91,1176,284.4
270,91,1176,300.94
432,91,1176,336.68
722,91,1176,54.73
779,91,1176,264.39
968,91,1176,329.84
111,92,893,346.07
111,92,893,346.07
329,92,893,321.25
329,92,893,321.25
865,92,893,244.97
865,92,893,244.97
921,92,893,462.68
921,92,893,462.68
112,93,1356,428.25
112,93,1356,428.25
112,93,1356,428.25
273,93,1356,23.87
273,93,1356,23.87
273,93,1356,23.87
477,93,1356,98.26
477,93,1356,98.26
477,93,1356,98.26
597,93,1356,306.87
597,93,1356,306.87
597,93,1356,306.87
787,93,1356,280.39
787,93,1356,280.39
787,93,1356,280.39
810,93,1356,57.84
810,93,1356,57.84
810,93,1356,57.84
836,93,1356,481.91
836,93,1356,481.91
836,93,1356,481.91
118,96,1446,358.7
218,96,1446,204.48
257,96,1446,243.54
756,96,1446,117.9
861,96,1446,99.57
119,97,466,119.2
202,97,466,47.27
227,97,466,476.38
627,97,466,99.94
122,66,880,252.67
122,66,880,252.67
523,66,880,331.85
523,66,880,331.85
643,66,880,269.25
643,66,880,269.25
125,98,169,422.41
125,98,169,422.41
125,98,169,422.41
220,98,169,477.79
220,98,169,477.79
220,98,169,477.79
126,99,579,29.89
126,99,579,29.89
447,99,579,268.32
447,99,579,268.32
528,99,579,414.79
528,99,579,414.79
955,99,579,343.17
955,99,579,343.17
127,100,305,117.45
584,100,305,143.18
891,100,305,431.8
131,101,136,274.29
346,101,136,461.82
132,102,948,83.27
132,102,948,83.27
132,102,948,83.27
188,102,948,224.65
188,102,948,224.65
188,102,948,224.65
297,102,948,151.77
297,102,948,151.77
297,102,948,151.77
681,102,948,314.01
681,102,948,314.01
681,102,948,314.01
134,73,433,23.42
134,73,433,23.42
256,73,433,172.12
256,73,433,172.12
282,73,433,383.12
282,73,433,383.12
805,73,433,319.84
805,73,433,319.84
917,73,433,137.11
917,73,433,137.11
139,47,497,209.07
866,47,497,35.55
141,3,261,98.53
141,3,261,98.53
141,3,261,98.53
209,3,261,266.37
209,3,261,266.37
209,3,261,266.37
348,3,261,193.47
348,3,261,193.47
348,3,261,193.47
518,3,261,110.55
518,3,261,110.55
518,3,261,110.55
867,3,261,97.69
867,3,261,97.69
867,3,261,97.69
142,107,879,443.67
162,107,879,25.87
242,107,879,180.71
418,107,879,319.03
750,107,879,458.76
143,108,587,168.12
216,108,587,407.5
235,108,587,122.48
878,108,587,150.94
952,108,587,280.95
145,109,858,240.81
145,109,858,240.81
854,109,858,486.32
854,109,858,486.32
148,110,1161,346.25
232,110,1161,49.09
261,110,1161,88.95
949,110,1161,154.29
151,111,1249,68.9
310,111,1249,463.22
339,111,1249,174.1
427,111,1249,97.28
654,111,1249,369.02
688,111,1249,298.15
977,111,1249,411.27
154,112,1276,408.34
360,112,1276,35.57
801,112,1276,45.34
946,112,1276,29.98
159,114,1359,28.16
252,114,1359,481.43
299,114,1359,185.11
711,114,1359,368.28
163,117,989,21.89
163,117,989,21.89
735,117,989,224.77
735,117,989,224.77
167,118,309,28.79
488,118,309,221.66
168,119,170,184.23
392,119,170,169.59
802,119,170,166.31
925,119,170,356.26
962,119,170,297.7
983,119,170,388.27
169,120,743,479.09
169,120,743,479.09
221,120,743,425.4
221,120,743,425.4
241,120,743,399.36
241,120,743,399.36
301,120,743,63.04
301,120,743,63.04
338,120,743,275.7
338,120,743,275.7
446,120,743,82.96
446,120,743,82.96
170,7,244,352.98
336,7,244,128.3
526,7,244,296.02
610,7,244,264.1
929,7,244,195.26
978,7,244,311.09
174,121,428,405.6
369,121,428,271.41
424,121,428,328.36
753,121,428,81.57
765,121,428,321.71
176,122,973,322.43
195,122,973,98.15
621,122,973,431.9
824,122,973,116.77
857,122,973,45.15
177,123,1116,78.28
470,123,1116,280.67
178,78,439,408.78
178,78,439,408.78
502,78,439,180.25
502,78,439,180.25
723,78,439,221.87
723,78,439,221.87
186,77,1333,258.17
192,129,821,279.22
328,129,821,123.46
724,129,821,330.56
193,130,507,401.65
417,130,507,480.38
793,130,507,405.47
875,130,507,199.47
893,130,507,104.89
947,130,507,85.43
196,131,113,320.55
556,131,113,481.86
826,131,113,378.88
904,131,113,171.76
201,133,958,253.14
456,133,958,53.41
207,132,163,79.55
566,132,163,426.9
591,132,163,460.51
682,132,163,419.19
862,132,163,273.01
932,132,163,342.17
208,87,327,35.23
208,87,327,35.23
208,87,327,35.23
933,87,327,185.92
933,87,327,185.92
933,87,327,185.92
210,135,789,63.76
210,135,789,63.76
229,135,789,111.97
229,135,789,111.97
246,135,789,378.17
246,135,789,378.17
343,135,789,406.15
343,135,789,406.15
349,135,789,229.41
349,135,789,229.41
361,135,789,254.0
361,135,789,254.0
496,135,789,499.74
496,135,789,499.74
694,135,789,307.95
694,135,789,307.95
744,135,789,438.99
744,135,789,438.99
938,135,789,192.76
938,135,789,192.76
219,138,1206,313.8
219,138,1206,313.8
219,138,1206,313.8
542,138,1206,56.06
542,138,1206,56.06
542,138,1206,56.06
849,138,1206,168.52
849,138,1206,168.52
849,138,1206,168.52
222,139,1018,80.8
222,139,1018,80.8
222,139,1018,80.8
782,139,1018,364.72
782,139,1018,364.72
782,139,1018,364.72
231,115,962,432.29
255,115,962,460.21
626,115,962,375.34
818,115,962,494.63
233,27,1398,64.83
804,27,1398,107.09
959,27,1398,76.52
238,140,1171,118.19
238,140,1171,118.19
238,140,1171,118.19
663,140,1171,100.57
663,140,1171,100.57
663,140,1171,100.57
825,140,1171,173.35
825,140,1171,173.35
825,140,1171,173.35
240,142,883,77.54
873,142,883,206.36
243,143,264,164.47
846,143,264,303.79
245,82,1193,174.11
245,82,1193,174.11
245,82,1193,174.11
302,82,1193,229.83
302,82,1193,229.83
302,82,1193,229.83
304,82,1193,388.07
304,82,1193,388.07
304,82,1193,388.07
253,144,1402,239.09
253,144,1402,239.09
318,144,1402,93.05
318,144,1402,93.05
365,144,1402,406.71
365,144,1402,406.71
254,145,263,269.26
254,145,263,269.26
271,145,263,380.93
271,145,263,380.93
311,145,263,422.89
311,145,263,422.89
389,145,263,48.36
389,145,263,48.36
436,145,263,394.14
436,145,263,394.14
509,145,263,365.94
509,145,263,365.94
907,145,263,70.46
907,145,263,70.46
258,146,931,454.61
454,146,931,272.3
517,146,931,447.89
673,146,931,457.32
705,146,931,460.47
264,147,280,69.89
285,147,280,438.4
622,147,280,314.26
266,148,484,299.31
284,148,484,423.27
628,148,484,303.8
268,150,1147,162.0
268,150,1147,162.0
268,150,1147,162.0
513,150,1147,256.33
513,150,1147,256.33
513,150,1147,256.33
794,150,1147,113.28
794,150,1147,113.28
794,150,1147,113.28
280,151,772,111.3
730,151,772,439.47
742,151,772,152.27
913,151,772,232.51
281,149,681,72.82
315,149,681,296.78
378,149,681,330.62
527,149,681,473.48
283,106,578,345.01
737,106,578,499.43
751,106,578,253.72
786,106,578,165.52
965,106,578,276.04
291,126,983,185.4
291,126,983,185.4
625,126,983,147.84
625,126,983,147.84
830,126,983,205.97
830,126,983,205.97
295,152,1359,100.03
295,152,1359,100.03
295,152,1359,100.03
763,152,1359,425.53
763,152,1359,425.53
763,152,1359,425.53
303,154,813,437.18
419,154,813,404.93
512,154,813,108.9
603,154,813,447.97
815,154,813,367.84
314,157,414,275.86
314,157,414,275.86
314,157,414,275.86
798,157,414,278.74
798,157,414,278.74
798,157,414,278.74
321,124,889,202.62
342,124,889,487.49
482,124,889,394.32
583,124,889,343.51
590,124,889,155.67
981,124,889,108.92
347,161,372,345.59
347,161,372,345.59
347,161,372,345.59
535,161,372,212.75
535,161,372,212.75
535,161,372,212.75
355,6,857,133.73
362,6,857,224.95
720,6,857,355.71
729,6,857,459.81
359,164,383,375.24
359,164,383,375.24
359,164,383,375.24
479,164,383,116.7
479,164,383,116.7
479,164,383,116.7
632,164,383,397.28
632,164,383,397.28
632,164,383,397.28
649,164,383,271.14
649,164,383,271.14
649,164,383,271.14
363,165,1376,22.8
363,165,1376,22.8
363,165,1376,22.8
371,165,1376,232.37
371,165,1376,232.37
371,165,1376,232.37
687,165,1376,475.03
687,165,1376,475.03
687,165,1376,475.03
997,165,1376,484.0
997,165,1376,484.0
997,165,1376,484.0
372,160,700,468.14
372,160,700,468.14
885,160,700,29.94
885,160,700,29.94
979,160,700,61.01
979,160,700,61.01
991,160,700,360.28
991,160,700,360.28
375,153,226,303.86
375,153,226,303.86
375,153,226,303.86
487,153,226,352.65
487,153,226,352.65
487,153,226,352.65
601,153,226,270.43
601,153,226,270.43
601,153,226,270.43
672,153,226,279.09
672,153,226,279.09
672,153,226,279.09
945,153,226,496.21
945,153,226,496.21
945,153,226,496.21
380,168,301,225.28
380,168,301,225.28
768,168,301,61.58
768,168,301,61.58
393,169,73,483.56
400,169,73,144.38
554,169,73,194.16
576,169,73,196.15
850,169,73,182.03
398,170,899,82.62
475,170,899,221.71
493,170,899,330.1
524,170,899,198.58
645,170,899,273.08
658,170,899,230.88
661,170,899,160.14
903,170,899,183.25
973,170,899,425.05
407,159,243,141.26
407,159,243,141.26
407,159,243,141.26
623,159,243,436.82
623,159,243,436.82
623,159,243,436.82
777,159,243,184.9
777,159,243,184.9
777,159,243,184.9
409,171,1136,173.43
409,171,1136,173.43
409,171,1136,173.43
415,171,1136,349.89
415,171,1136,349.89
415,171,1136,349.89
438,171,1136,348.35
438,171,1136,348.35
438,171,1136,348.35
761,171,1136,237.52
761,171,1136,237.52
761,171,1136,237.52
911,171,1136,477.01
911,171,1136,477.01
911,171,1136,477.01
411,104,799,175.83
630,104,799,273.11
789,104,799,387.54
422,71,1482,207.53
422,71,1482,207.53
422,71,1482,207.53
538,71,1482,391.2
538,71,1482,391.2
538,71,1482,391.2
695,71,1482,349.73
695,71,1482,349.73
695,71,1482,349.73
707,71,1482,304.73
707,71,1482,304.73
707,71,1482,304.73
995,71,1482,31.22
995,71,1482,31.22
995,71,1482,31.22
429,172,425,352.67
429,172,425,352.67
429,172,425,352.67
872,172,425,54.83
872,172,425,54.83
872,172,425,54.83
431,173,244,87.19
492,173,244,451.04
655,173,244,195.62
783,173,244,461.45
892,173,244,372.59
433,174,499,117.2
547,174,499,327.44
443,176,222,363.68
521,176,222,84.98
733,176,222,288.39
444,136,1439,49.79
484,136,1439,482.81
594,136,1439,346.16
906,136,1439,272.05
923,136,1439,34.46
451,95,691,206.23
451,95,691,206.23
451,95,691,206.23
451,95,691,206.23
689,95,691,486.54
689,95,691,486.54
689,95,691,486.54
689,95,691,486.54
780,95,691,116.87
780,95,691,116.87
780,95,691,116.87
780,95,691,116.87
828,95,691,375.91
828,95,691,375.91
828,95,691,375.91
828,95,691,375.91
860,95,691,255.19
860,95,691,255.19
860,95,691,255.19
860,95,691,255.19
864,95,691,130.18
864,95,691,130.18
864,95,691,130.18
864,95,691,130.18
464,166,876,166.03
784,166,876,495.3
472,156,1,330.14
548,156,1,60.05
676,156,1,55.73
791,156,1,100.34
807,156,1,271.67
924,156,1,368.39
950,156,1,329.5
478,177,1384,69.6
852,177,1384,250.75
914,177,1384,143.16
486,178,1035,289.72
486,178,1035,289.72
778,178,1035,171.77
778,178,1035,171.77
890,178,1035,255.18
890,178,1035,255.18
494,180,1103,382.19
531,180,1103,417.56
552,180,1103,472.21
803,180,1103,136.9
967,180,1103,272.85
495,181,1429,157.69
668,181,1429,207.68
919,181,1429,464.69
549,185,792,478.11
549,185,792,478.11
549,185,792,478.11
551,186,1097,465.86
685,186,1097,180.31
718,186,1097,98.94
553,187,890,140.99
592,187,890,202.06
560,184,219,323.57
580,189,676,123.56
927,189,676,214.46
936,189,676,85.14
589,190,1415,420.75
589,190,1415,420.75
589,190,1415,420.75
666,190,1415,393.86
666,190,1415,393.86
666,190,1415,393.86
776,190,1415,466.84
776,190,1415,466.84
776,190,1415,466.84
899,190,1415,74.05
899,190,1415,74.05
899,190,1415,74.05
609,191,689,229.77
609,191,689,229.77
609,191,689,229.77
781,191,689,35.78
781,191,689,35.78
781,191,689,35.78
833,191,689,362.98
833,191,689,362.98
833,191,689,362.98
611,192,1378,344.12
871,192,1378,235.7
618,60,285,164.26
652,60,285,336.6
635,193,580,107.07
879,193,580,53.28
638,16,533,241.14
638,16,533,241.14
638,16,533,241.14
656,194,1053,198.72
656,194,1053,198.72
656,194,1053,198.72
918,194,1053,431.4
918,194,1053,431.4
918,194,1053,431.4
698,175,39,249.22
758,175,39,442.31
745,196,359,291.71
745,196,359,291.71
757,196,359,467.19
757,196,359,467.19
845,196,359,53.36
845,196,359,53.36
994,196,359,499.3
994,196,359,499.3
762,197,478,246.77
796,197,478,375.39
808,198,1332,345.14
838,198,1332,230.93
898,182,330,123.69
935,113,540,317.19
935,113,540,317.19
935,113,540,317.19
966,127,1471,252.36
966,127,1471,252.36
